CNT,CNTSCHID,CNTSTUID,RTML_mean,ESCS,ST011Q01TA,ST004D01T,ST001D01T,RATCMP1,RATCMP2,EDUSHORT
NOR,57800074.0,57800001.0,534.4850999999999,0.8707,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800005.0,57800002.0,539.8279999999999,0.9172,1.0,1.0,10.0,0.3205,1.0,2.1861
NOR,57800228.0,57800003.0,596.2330999999999,0.8462,1.0,1.0,10.0,1.0,1.0,-0.3123
NOR,57800055.0,57800004.0,246.9432,-5.362,2.0,2.0,10.0,1.0,1.0,-1.4212
NOR,57800191.0,57800005.0,657.3471999999999,-0.085,1.0,1.0,10.0,0.8163,1.0,0.1312
NOR,57800142.0,57800006.0,569.0581,1.3514,1.0,1.0,10.0,0.8726,1.0,0.6606
NOR,57800083.0,57800007.0,365.15729999999996,-0.6974,1.0,2.0,10.0,1.0,1.0,0.8339
NOR,57800109.0,57800008.0,431.9084,0.7671,1.0,2.0,10.0,0.6122,1.0,-1.4212
NOR,57800212.0,57800009.0,561.9902,1.7336,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800105.0,57800010.0,235.21980000000002,-4.443,2.0,2.0,10.0,1.0,1.0,0.1423
NOR,57800097.0,57800011.0,663.7046000000001,1.0834,1.0,1.0,10.0,1.0,1.0,-0.6344
NOR,57800055.0,57800012.0,513.1375,1.6843,1.0,2.0,10.0,1.0,1.0,-1.4212
NOR,57800179.0,57800013.0,496.83039999999994,1.272,1.0,1.0,10.0,1.0,1.0,-0.2376
NOR,57800055.0,57800014.0,316.4162,1.3005,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800125.0,57800017.0,670.3174,1.3872,1.0,1.0,10.0,0.2727,1.0,0.265
NOR,57800213.0,57800018.0,440.85699999999997,0.7728,1.0,1.0,10.0,1.0,1.0,0.8339
NOR,57800070.0,57800019.0,364.23,0.8815,1.0,1.0,10.0,1.0,1.0,1.2478
NOR,57800184.0,57800021.0,439.16990000000004,1.3218,1.0,1.0,10.0,1.0,1.0,1.0245
NOR,57800169.0,57800022.0,525.1908000000001,0.3666,1.0,2.0,10.0,1.1194,1.0,-0.4526
NOR,57800078.0,57800023.0,436.2138999999999,0.649,1.0,1.0,10.0,1.56,1.0,-0.0672
NOR,57800195.0,57800024.0,588.0938,-0.8906,1.0,2.0,10.0,1.0,1.0,-0.2805
NOR,57800198.0,57800025.0,560.1831,0.3297,1.0,2.0,10.0,0.5747,1.0,0.1423
NOR,57800105.0,57800027.0,559.9355,-0.8245,1.0,2.0,10.0,1.0,1.0,0.1423
NOR,57800190.0,57800028.0,640.1162,1.0215,1.0,1.0,10.0,1.6667,1.0,-0.2376
NOR,57800103.0,57800029.0,560.1981,0.486,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800044.0,57800030.0,528.9332,1.4203,1.0,2.0,10.0,0.3333,1.0,1.0283
NOR,57800088.0,57800031.0,327.5911,0.3893,1.0,2.0,10.0,0.5833,1.0,-0.6884
NOR,57800049.0,57800032.0,510.04010000000005,1.1983,1.0,1.0,10.0,1.5,1.0,-1.4212
NOR,57800072.0,57800033.0,589.8889,0.9077,1.0,1.0,10.0,1.0,1.0,-0.2376
NOR,57800226.0,57800034.0,397.5781,1.9304,1.0,2.0,10.0,0.4762,1.0,0.7889
NOR,57800248.0,57800035.0,675.7374000000001,0.7078,1.0,2.0,10.0,1.2195,1.0,-0.2376
NOR,57800060.0,57800036.0,474.2365,1.1682,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800162.0,57800037.0,498.80820000000006,1.3161,1.0,2.0,10.0,0.5634,1.0,1.7368
NOR,57800083.0,57800038.0,535.89,-0.6186,1.0,1.0,10.0,1.0,1.0,0.8339
NOR,57800089.0,57800039.0,577.0012,1.8552,1.0,2.0,10.0,1.0417,1.0,1.6863
NOR,57800216.0,57800040.0,462.57370000000003,1.1461,1.0,1.0,10.0,1.0,1.0,-0.3123
NOR,57800069.0,57800041.0,517.722,0.8029,1.0,2.0,10.0,1.0,1.0,-0.6483
NOR,57800023.0,57800042.0,384.6854,0.4284,1.0,2.0,10.0,1.0,1.0,0.0574
NOR,57800038.0,57800045.0,308.9588,-1.6662,,2.0,10.0,0.3636,1.0,0.8339
NOR,57800192.0,57800046.0,575.9726,0.4209,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800191.0,57800047.0,477.95079999999996,0.9591,1.0,1.0,10.0,0.8163,1.0,0.1312
NOR,57800076.0,57800048.0,542.486,0.7813,1.0,2.0,10.0,1.0,1.0,1.2002
NOR,57800227.0,57800049.0,617.9868,1.0427,2.0,1.0,10.0,1.0,1.0,0.4322
NOR,57800190.0,57800050.0,609.6674999999999,1.1347,1.0,2.0,10.0,1.6667,1.0,-0.2376
NOR,57800001.0,57800051.0,661.7649000000001,0.3176,1.0,1.0,10.0,1.0,1.0,-0.0672
NOR,57800058.0,57800052.0,578.0255,0.3006,2.0,1.0,10.0,1.0,1.0,-0.949
NOR,57800213.0,57800053.0,699.4265000000001,1.6562,1.0,2.0,10.0,1.0,1.0,0.8339
NOR,57800112.0,57800054.0,596.4395999999999,0.1748,1.0,1.0,10.0,1.0,1.0,-0.6884
NOR,57800156.0,57800055.0,581.0465,-0.3856,2.0,2.0,10.0,0.4,1.0,-1.4212
NOR,57800045.0,57800056.0,377.2371,0.8618,1.0,2.0,10.0,1.0,1.0,-0.4562
NOR,57800235.0,57800057.0,625.8617999999999,0.2766,1.0,1.0,10.0,1.0,1.0,0.1
NOR,57800140.0,57800058.0,552.0374,0.9061,1.0,2.0,10.0,1.3333,1.0,-1.4212
NOR,57800211.0,57800059.0,680.2981,1.3489,1.0,2.0,10.0,1.0,1.0,-0.6483
NOR,57800237.0,57800060.0,586.4964,1.6133,1.0,2.0,10.0,0.6667,1.0,0.1
NOR,57800239.0,57800061.0,526.071,1.0348,1.0,2.0,10.0,1.0,1.0,0.4292
NOR,57800096.0,57800062.0,364.8,-0.3338,1.0,1.0,10.0,0.431,1.0,0.2986
NOR,57800053.0,57800063.0,530.7620000000001,1.1942,1.0,2.0,10.0,1.0,1.0,0.1312
NOR,57800099.0,57800064.0,552.5836999999999,-0.0816,1.0,2.0,10.0,1.0,1.0,0.7452
NOR,57800007.0,57800066.0,460.8048,-0.001,1.0,2.0,10.0,1.0,1.0,-0.2376
NOR,57800016.0,57800068.0,594.3398,0.837,1.0,1.0,10.0,0.5072,1.0,-1.4212
NOR,57800030.0,57800069.0,633.2406000000001,1.62,1.0,2.0,10.0,1.4935,1.0,0.4292
NOR,57800074.0,57800070.0,475.8372000000001,-0.8105,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800243.0,57800071.0,295.313,1.4432,1.0,2.0,10.0,1.0,1.0,0.4292
NOR,57800133.0,57800072.0,707.7493,1.6055,1.0,2.0,10.0,1.2,1.0,-0.0672
NOR,57800178.0,57800073.0,593.3307000000002,0.9758,1.0,1.0,10.0,1.0,1.0,-0.4526
NOR,57800068.0,57800074.0,387.8535,0.1305,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800040.0,57800075.0,398.6812,1.1497,1.0,2.0,10.0,1.0,1.0,-0.2376
NOR,57800175.0,57800077.0,320.569,-0.3585,1.0,2.0,10.0,1.0274,1.0,-1.4212
NOR,57800141.0,57800078.0,381.98459999999994,-0.3581,1.0,2.0,10.0,0.7453,1.0,1.2521
NOR,57800052.0,57800079.0,517.3318999999999,1.6511,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800162.0,57800080.0,421.19270000000006,-0.4399,1.0,2.0,10.0,0.5634,1.0,1.7368
NOR,57800210.0,57800081.0,447.59219999999993,1.5522,1.0,2.0,10.0,1.0,1.0,-1.4212
NOR,57800123.0,57800084.0,433.78589999999997,1.425,1.0,1.0,10.0,1.0,1.0,-0.2805
NOR,57800142.0,57800085.0,551.3951,1.2752,1.0,1.0,10.0,0.8726,1.0,0.6606
NOR,57800248.0,57800086.0,546.2200999999999,0.7201,1.0,1.0,10.0,1.2195,1.0,-0.2376
NOR,57800030.0,57800088.0,496.2746,0.7147,1.0,1.0,10.0,1.4935,1.0,0.4292
NOR,57800013.0,57800089.0,503.2535,0.2698,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800038.0,57800091.0,343.66639999999995,1.3425,1.0,2.0,10.0,0.3636,1.0,0.8339
NOR,57800012.0,57800092.0,667.3901,0.8197,1.0,2.0,9.0,0.5435,1.0,0.1
NOR,57800195.0,57800093.0,487.5813999999999,0.7994,1.0,1.0,10.0,1.0,1.0,-0.2805
NOR,57800089.0,57800094.0,498.13,1.2781,1.0,2.0,10.0,1.0417,1.0,1.6863
NOR,57800111.0,57800095.0,440.813,-0.7029,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800134.0,57800096.0,688.9381000000001,0.1847,1.0,2.0,10.0,1.0,1.0,-0.0703
